disaster_id,name_int,name_local,type,subtype,date_start,date_end,date_year,date_month
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Ivan,Typhoon Narsing,Tropical Cyclone,"Heavy rains, Flooding",1997-10-25,,1997,10
TropicalCyclone_1997-08-18_TyphoonIbiang,Typhoon Winnie,Typhoon Ibiang,Tropical Cyclone,"Heavy rains, Flooding, Lahar flow",1997-08-18,1997-08-19,1997,10
Earthquake_1999-12-12_LuzonEarthquake,1999 Luzon Earthquake,1999 Luzon Earthquake,Earthquake,Aftershocks,1999-12-12,,1997,10
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1997,10
TropicalCyclone_1984-08-31_TyphoonNitang,Typhoon Ike,Typhoon Nitang,Tropical Cyclone,"Heavy rains, Flooding",1984-08-31,1984-09-04,1997,10
TropicalCyclone_2008-06-29_TyphoonFrank,Typhoon Fengshen,Typhoon Frank,Tropical Cyclone,"Heavy rains, Flooding",2008-06-29,,1997,10
Flooding_2005-12-01,,,Flooding,"Flooding, Mass Movement, Breaching",2005-12-01,,1997,10
Flooding_1999-12-23,,,Flooding,"Continuous Rains, Flooding, Mass Movements",1999-12-23,,1997,10
Flooding_1999-01-01,,,Flooding,"Heavy rains, Mass Movement",1999-01-01,,1997,10
TropicalCyclone_2001-07-02_TyphoonFeria,Severe Tropical Storm Utor,Typhoon Feria,Tropical Cyclone,,2001-07-02,2001-07-07,1997,10
Human-InducedHazard_1899-12-31,,,Human-Induced Hazard,,1899-12-31,,1997,10
Flooding_1995,,,Flooding,,1900-02-02,,1997,10
RedTide_1995,,,Red Tide,,1995,,1997,10
Infestation_1995_Locust,,,Infestation,Locust,1995,,1997,10
Mass Movement_1995,,,Mass Movement,,1995,,1997,10
Drought_1995,,,Drought,,1995,,1997,10
Tornado_1995,,,Tornado,,1995,,1997,10
Epidemic_1995_FootandMouthDisease,,,Epidemic,Food and Mouth DIsease,1995,,1997,10
Earthquake_1995,,,Earthquake,,1995,,1997,10
VolcanicHazard_1995_Lahar,,,Volcanic Hazard,Lahar,1995,,1997,10
Drought_1995-01-09,,,Drought,,1995-01-09,,1997,10
Flooding_1995-01-15,,,Flooding,,1995-01-15,1995-01-17,1997,10
Flooding_1995-01-20,,,Flooding,,1995-01-20,,1997,10
Human-InducedHazard_1995_CivilDisturbances,,,Human-Induced Hazard,Civil Disturbances,1995,,1997,10
Human-InducedHazard_1995_Bomb/GrenadeExplosions,,,Human-Induced Hazard,Bomb/Grenade explosions,1995,,1997,10
Human-InducedHazard_1995_ShootingIncidents,,,Human-Induced Hazard,Shooting incidents,1995,,1997,10
Human-InducedHazard_1995_VehicularAccidents,,,Human-Induced Hazard,Vehicular Accidents,1995,,1997,10
Human-InducedHazard_1995_TillingPondCollapse,,,Human-Induced Hazard,Tilling Pond Collapse,1995,,1997,10
Human-InducedHazard_1995_SeaMishaps,,,Human-Induced Hazard,Sea Mishaps,1995,,1997,10
Fire_1995,,,Fire,Fire Incidents,1995,,1997,10
Human-InducedHazard_1995_CollapsedBridges,,,Human-Induced Hazard,Collapsed Bridges,1995,,1997,10
Epidemic_1995_Leptospirosis,,,Epidemic,Leptospirosis,1995,,1997,10
Typhoon_1986-07-11_TyphoonGading,Typhoon Peggy,Typhoon Gading,Tropical Cyclone,,1986-07-06,1986-07-10,1997,10
TropicalCyclone_1986-10-10_TropicalStormPasing,Typhoon Ellen,Tropical Storm Pasing,Tropical Cyclone,,1986-10-10,1986-10-14,1997,10
TropicalCyclone_1986-12-20_TyphoonAning,Typhoon Marge,Typhoon Aning,Tropical Cyclone,,1986-12-20,1986-12-23,1997,10
Human-InducedHazard_1995-12-13,,,Human-Induced Hazard,,1994-12-02,,1997,10
Fire_1995-12-13,,,Fire,,1995-12-13,,1997,10
Human-InducedHazard_1994-12-02,,,Human-Induced Hazard,Ship collision,1994-12-02,,1997,10
Fire_1995-12-13,,,Fire,Fire incident on ship,1995-12-13,,1997,10
Human-InducedHazard_1996-02-18,,,Human-Induced Hazard,Ship sinking,1996-02-18,,1997,10
Human-InducedHazard_1998-09-18,,,Human-Induced Hazard,Ship sinking,1998-09-18,,1997,10
Human-InducedHazard_1999-12-23,,,Human-Induced Hazard,Ship sinking,1999-12-23,,1997,10
Tornado_2000-04-15,,,Tornado,,2000-04-15,,1997,10
TropicalCyclone_2003-05-25_TropicalStormChedeng,Tropical Storm Linfa,"Tropical Storm Chedeng
",Tropical Cyclone,,2003-05-25,2003-05-29,1997,10
TropicalCyclone_2003-06-13_TropicalStormEgay,Tropical Storm Soudelor,Tropical Storm Egay,Tropical Cyclone,,2003-06-13,2003-06-18,1997,10
TropicalCyclone_2003-07-15_TropicalStormGilas,Tropical Storm Koni,Tropical Storm Gilas,Tropical Cyclone,,2003-07-15,2003-07-20,1997,10
TropicalCyclone_2003-07-19_SuperTyphoonHarurot,Super Typhoon Imbudo,Super Typhoon Harurot,Tropical Cyclone,,2003-07-19,2003-07-23,1997,10
TropicalCyclone_2003-07-30_TropicalDepressionIneng,n/a,Tropical Depression Ineng,Tropical Cyclone,,2003-07-30,2003-07-31,1997,10
TropicalCyclone_2003-08-04_TropicalStormKabayan,Tropical Storm Etau,Tropical Storm Kabayan,Tropical Cyclone,,2003-08-04,2003-08-06,1997,10
TropicalCyclone_2003-08-20_TyphoonNina,Typhoon Krovanh,Typhoon Nina,Tropical Cyclone,,2003-08-20,2003-08-23,1997,10
TropicalCyclone_2003-08-29_TyphoonOnyok,Typhoon Dujuan,Typhoon Onyok,Tropical Cyclone,,2003-08-29,2003-09-02,1997,10
TropicalCyclone_2003-10-24_TropicalStormUrsula,n/a,Tropical Storm Ursula,Tropical Cyclone,,2003-10-24,2003-10-31,1997,10
TropicalCyclone_2003-11-12_TropicalStormWeng,Typhoon Nepartak,Tropical Storm Weng,Tropical Cyclone,,2003-11-12,2003-11-15,1997,10
StormSurge_1897-10-12_TyphoonOfSamarAndLeyte,n/a,Typhoon of Samar and Leyte,Storm Surge,,1897-10-12,,1997,10
StormSurge_1908-10-13_TyphoonOfOctober131908,n/a,Typhoon of October 13 1908,Storm Surge,,1908-10-13,,1997,10
StormSurge_1912-10-14_TyphoonOfLeyteAndCebu,n/a,Typhoon of Leyte and Cebu,Storm Surge,,1912-10-14,1912-10-16,1997,10
StormSurge_1914-06-15_TyphoonOfSamarAndLuzon,n/a,Typhoon of Samar and Luzon,Storm Surge,,1914-06-15,1914-06-24,1997,10
StormSurge_1916-01-10_TyphoonOfBiliranAndNorthernLeyte,n/a,Typhoon of Biliran and Northern Leyte,Storm Surge,,1916-01-10,1916-01-16,1997,10
TropicalCyclone_2003,,,Tropical Cyclone,,2003,,1997,10
TropicalCyclone_2002,,,Tropical Cyclone,,2002,,1997,10
TropicalCyclone_2001,,,Tropical Cyclone,,2001,,1997,10
TropicalCyclone_2000,,,Tropical Cyclone,,2000,,1997,10
TropicalCyclone_1999,,,Tropical Cyclone,,1999,,1997,10
TropicalCyclone_1998,,,Tropical Cyclone,,1998,,1997,10
TropicalCyclone_1997,,,Tropical Cyclone,,1997,,1997,10
TropicalCyclone_1996,,,Tropical Cyclone,,1996,,1997,10
TropicalCyclone_1995,,,Tropical Cyclone,,1995,,1997,10
TropicalCyclone_1994,,,Tropical Cyclone,,1994,,1997,10
TropicalCyclone_1993,,,Tropical Cyclone,,1993,,1997,10
TropicalCyclone_1992,,,Tropical Cyclone,,1992,,1997,10
TropicalCyclone_1991,,,Tropical Cyclone,,1991,,1997,10
TropicalCyclone_1990,,,Tropical Cyclone,,1990,,1997,10
TropicalCyclone_1989,,,Tropical Cyclone,,1989,,1997,10
TropicalCyclone_1988,,,Tropical Cyclone,,1988,,1997,10
TropicalCyclone_1987,,,Tropical Cyclone,,1987,,1997,10
TropicalCyclone_1986,,,Tropical Cyclone,,1986,,1997,10
TropicalCyclone_1985,,,Tropical Cyclone,,1985,,1997,10
TropicalCyclone_1984,,,Tropical Cyclone,,1984,,1997,10
TropicalCyclone_1983,,,Tropical Cyclone,,1983,,1997,10
TropicalCyclone_1982,,,Tropical Cyclone,,1982,,1997,10
TropicalCyclone_1981,,,Tropical Cyclone,,1981,,1997,10
TropicalCyclone_1980,,,Tropical Cyclone,,1980,,1997,10
TropicalCyclone_1979,,,Tropical Cyclone,,1979,,1997,10
TropicalCyclone_1978,,,Tropical Cyclone,,1978,,1997,10
TropicalCyclone_1977,,,Tropical Cyclone,,1977,,1997,10
TropicalCyclone_1976,,,Tropical Cyclone,,1976,,1997,10
TropicalCyclone_1976-05-19_TyphoonEndang,n/a,Typhoon Endang,Tropical Cyclone,,1976-05-19,1976-05-28,1997,10
TropicalCyclone_1976-06-22_TyphoonHuaning,Typhoon Ruby,Typhoon Huaning,Tropical Cyclone,,1976-06-22,1976-07-02,1997,10
TropicalCyclone_1976-08-08_TyphoonNitang,Typhoon Billie,Typhoon Nitang,Tropical Cyclone,,1976-08-08,1976-08-17,1997,10
TropicalCyclone_1976-09-13_TyphoonToyang,Typhoon Iris,Typhoon Toyang,Tropical Cyclone,,1976-09-13,1976-09-17,1997,10
TropicalCyclone_1976-12-02_TropicalStormAring,Severe Tropical Storm Nora,Tropical Storm Aring,Tropical Cyclone,Tropical Storm,1976-12-02,1976-12-07,1997,10
TropicalCyclone_1976-12-29_TropicalDepressionKayang,Tropical Depression Kayang,Tropical Depression Kayang,Tropical Cyclone,Tropical Depression,1976-12-29,1976-12-31,1997,10
TropicalCyclone_1975,,,Tropical Cyclone,,1975,,1997,10
TropicalCyclone_1975-01-22_TyphoonAuring,Typhoon Lola,Typhoon Auring,Tropical Cyclone,,1975-01-22,1975-01-26,1997,10
TropicalCyclone_1975-10-09_TyphoonMameng,Typhoon Elsie,Typhoon Mameng,Tropical Cyclone,,1975-10-09,1975-10-13,1997,10
TropicalCyclone_1974,,,Tropical Cyclone,,1974,,1997,10
TropicalCyclone_1974-01-08_TyphoonBising,Typhoon Dinah,Typhoon Bising,Tropical Cyclone,,1974-01-08,1974-01-11,1997,10
TropicalCyclone_1974-07-18_TyphoonIliang,Typhoon Ivy,Typhoon Iliang,Tropical Cyclone,,1974-07-18,1974-07-21,1997,10
TropicalCyclone_1974-10-08_TyphoonSusang,Typhoon Bess,Typhoon Susang,Tropical Cyclone,,1974-10-08,1974-10-12,1997,10
TropicalCyclone_1974-10-14_TyphoonTering,Typhoon Carmen,Typhoon Tering,Tropical Cyclone,,1974-10-14,1974-10-17,1997,10
TropicalCyclone_1974-10-25_TyphoonWening,Typhoon Elaine,Typhoon Wening,Tropical Cyclone,,1974-10-25,1974-10-26,1997,10
TropicalCyclone_1974-10-31_TyphoonYaning,Severe Tropical Storm Faye,Typhoon Yaning,Tropical Cyclone,,1974-10-31,1974-11-02,1997,10
TropicalCyclone_1974-11-04_TyphoonAning,Typhoon Gloria,Typhoon Aning,Tropical Cyclone,,1974-11-04,1974-11-07,1997,10
TropicalCyclone_1974-11-24_TyphoonBidang,Typhoon Irma,Typhoon Bidang,Tropical Cyclone,,1974-11-24,1974-11-29,1997,10
TropicalCyclone_1973,,,Tropical Cyclone,,1973,,1997,10
TropicalCyclone_1973-10-02,,,Tropical Cyclone,,1973-10-02,1973-10-09,1997,10
TropicalCyclone_1973-11-18,,,Tropical Cyclone,,1973-11-18,1973-11-24,1997,10
TropicalCyclone_1973-11-24,,,Tropical Cyclone,,1973-11-24,1973-11-29,1997,10
TropicalCyclone_1972,,,Tropical Cyclone,,1972,,1997,10
TropicalCyclone_1972-01-05_TropicalStormAsiang,Typhoon Kit,Tropical Storm Asiang,Tropical Cyclone,Tropical Storm,1972-01-05,1972-01-09,1997,10
TropicalCyclone_1972-01-23_TyphoonKonsing,Wrong date??,Typhoon Konsing,Tropical Cyclone,,1972-01-23,1972-01-25,1997,10
TropicalCyclone_1972-11-04_TyphoonToyang,Typhoon Pamela,Typhoon Toyang,Tropical Cyclone,,1972-11-04,1972-11-05,1997,10
TropicalCyclone_1972-12-01_TyphoonUndang,Typhoon Therese,Typhoon Undang,Tropical Cyclone,,1972-12-01,1972-12-08,1997,10
TropicalCyclone_1971,,,Tropical Cyclone,,1971,,1997,10
TropicalCyclone_1971-04-23_TyphoonDiding,Typhoon Wanda,Typhoon Diding,Tropical Cyclone,,1971-04-23,1971-04-26,1997,10
TropicalCyclone_1971-05-25_TyphoonHerming,Typhoon DInah,Typhoon Herming,Tropical Cyclone,,1971-05-25,1971-05-27,1997,10
TropicalCyclone_1971-06-23_TyphoonMambing,,Typhoon Mambing,Tropical Cyclone,,1971-06-23,1971-06-26,1997,10
TropicalCyclone_1971-10-06_TropicalStormKrising,Severe Tropical Storm Faye,Tropical Storm Krising,Tropical Cyclone,Tropical Storm,1971-10-06,1971-10-11,1997,10
TropicalCyclone_1971-10-11_TropicalStormDading,Severe Tropical Storm Gloria,Tropical Storm Dading,Tropical Cyclone,Tropical Storm,1971-10-11,1971-10-13,1997,10
TropicalCyclone_1971-10-19_TropicalStormGoying,Typhoon Hester,Tropical Storm Goying,Tropical Cyclone,Tropical Storm,1971-10-19,1971-10-22,1997,10
TropicalCyclone_1970,,,Tropical Cyclone,,1970,,1997,10
TropicalCyclone_1970-02-23_TyphoonAtang,Typhoon Nancy,Typhoon Atang,Tropical Cyclone,,1970-02-23,1970-02-27,1997,10
TropicalCyclone_1970-09-04_TropicalStormOyang,Severe Tropical Storm Fran,Tropical Storm Oyang,Tropical Cyclone,Tropical Storm,1970-09-04,1970-09-06,1997,10
TropicalCyclone_1970-09-08_TyphoonPitang,Typhoon Georgia,Typhoon Pitang,Tropical Cyclone,,1970-09-08,1970-09-12,1997,10
TropicalCyclone_1970-09-12_TyphoonSening,Typhoon Joan,Typhoon Sening,Tropical Cyclone,,1970-09-12,1970-09-15,1997,10
TropicalCyclone_1970-10-16_TropicalStormTitang,Typhoon Kate, Tropical Storm Titang,Tropical Cyclone,Tropical Storm,1970-10-16,1970-10-22,1997,10
TropicalCyclone_1970-11-17_TyphoonYoling,Typhoon Patsy,Typhoon Yoling,Tropical Cyclone,,1970-11-17,1970-11-20,1997,10
TropicalCyclone_1998-12-11_TyphoonNorming,Typhoon Faith,Typhoon Norming,Tropical Cyclone,,1998-12-11,1998-12-15,1997,10
TropicalCyclone_2000-11-29_TyphoonToyang,Tropical Storm Rumbia,Typhoon Toyang,Tropical Cyclone,,2000-11-29,2000-12-02,1997,10
TropicalCyclone_2002-06-28_SouthwestMonsoonRains,,Southwest Monsoon Rains (?),Tropical Cyclone,Southwest Monsoon Rains,2002-06-28,2002-07-14,1997,10
TropicalCyclone_2002-08-11_TropicalDepressionMilenyo,Tropical Depression 18W,Tropical Depression Milenyo,Tropical Cyclone,Tropical Depression,2002-08-11,2002-08-14,1997,10
Human-InducedHazard_2004-10-02_Fire,,,Human-Induced Hazard,Fire,2004-10-02,2004-10-28,1997,10
Human-InducedHazard_2004-10-28_Fire,,,Human-Induced Hazard,Fire,2004-10-28,,1997,10
Human-InducedHazard_2004-10-26_Fire,,,Human-Induced Hazard,Fire,2004-10-26,,1997,10
Human-InducedHazard_2004-10-25_Fire,,,Human-Induced Hazard,Fire,2004-10-25,,1997,10
Human-InducedHazard_2004-10-23_Fire,,,Human-Induced Hazard,Fire,2004-10-23,,1997,10
Human-InducedHazard_2004-10-19_Fire,,,Human-Induced Hazard,Fire,2004-10-19,,1997,10
Human-InducedHazard_2004-10-17_Fire,,,Human-Induced Hazard,Fire,2004-10-17,,1997,10
Human-InducedHazard_2004-10-14_Fire,,,Human-Induced Hazard,Fire,2004-10-14,,1997,10
Human-InducedHazard_2004-10-13_Fire,,,Human-Induced Hazard,Fire,2004-10-13,,1997,10
Human-InducedHazard_2004-10-11_Fire,,,Human-Induced Hazard,Fire,2004-10-11,,1997,10
Human-InducedHazard_2004-10-11_Fire,,,Human-Induced Hazard,Fire,2004-10-11,,1997,10
Human-InducedHazard_2004-10-07_Fire,,,Human-Induced Hazard,Fire,2004-10-07,,1997,10
Human-InducedHazard_2004-10-03_Fire,,,Human-Induced Hazard,Fire,2004-10-03,,1997,10
Human-InducedHazard_2004-10-10_VehicularAccidentsSummary,,,Human-Induced Hazard,Vehicular Accidents Summary,2004-10-10,2004-10-17,1997,10
Human-InducedHazard__Bus-TricycleCrash,,,Human-Induced Hazard,Bus - Tricycle Crash,,,1997,10
Human-InducedHazard__SeaMishap(FellOverboard),,,Human-Induced Hazard,Sea Mishap (Fell Overboard),,,1997,10
Human-InducedHazard__PlaneCrash,,,Human-Induced Hazard,Plane Crash,,,1997,10
TropicalCyclone_2004-10-24_TyphoonTonyo,Typhoon Nock-ten,Typhoon Tonyo,Tropical Cyclone,,2004-10-24,,1997,10
TropicalCyclone_2004-10-13_TyphoonSiony,Typhoon Tokage,Typhoon Siony,Tropical Cyclone,,2004-10-13,2004-10-23,1997,10
Tornado_10-18_Tornado,,,Tornado,,10-18,,1997,10
Flooding_10-15_FlashFlood,,,Flooding,Flash Flood,10-15,,1997,10
TropicalCyclone_2004-10-05_TyphoonRolly,Typhoon Ma-on,Typhoon Rolly,Tropical Cyclone,,2004-10-05,2004-10-08,1997,10
MassMovement_2004-10-09_BoulderFall,,,Mass Movement,Boulder Fall,2004-10-09,,1997,10
Earthquake_2004-10-26_,,,Earthquake,,2004-10-26,,1997,10
Earthquake_2004-10-11_,,,Earthquake,,2004-10-11,,1997,10
Earthquake_2004-10-11_,,,Earthquake,,2004-10-11,,1997,10
Earthquake_2004-10-08_,,,Earthquake,,2004-10-08,,1997,10
VolcanicHazard_2004-10-28_TaalVolcanoActivity,,,Volcanic Hazard,Taal Volcano Activity,2004-10-28,,1997,10
Human-InducedHazard_2004-12_,,,Human-Induced Hazard,,2004-12,2005-01,1997,10
Human-InducedHazard__ArmedConflictInMaguindanao,,,Human-Induced Hazard,Armed Conflict in Maguindanao,,,1997,10
Human-InducedHazard__ArmedConflictInSultanKudarat,,,Human-Induced Hazard,Armed Conflict in Sultan Kudarat,,,1997,10
Human-InducedHazard_2005-01-16_ShootingIncident,,,Human-Induced Hazard,Shooting Incident,2005-01-16,,1997,10
Human-InducedHazard_2005-01-05_FireIncidentSummary,,,Fire,Fire Incident Summary,2005-01-05,2005-01-29,1997,10
Human-InducedHazard_2005-01-29_Fire,,,Fire,,2005-01-29,,1997,10
Human-InducedHazard_2005-01-27_Fire,,,Fire,,2005-01-27,,1997,10
Human-InducedHazard_2005-01-25_Fire,,,Fire,,2005-01-25,,1997,10
Human-InducedHazard_2005-01-22_Fire,,,Fire,,2005-01-22,,1997,10
Human-InducedHazard_2005-01-22_Fire,,,Fire,,2005-01-22,,1997,10
Human-InducedHazard_2005-01-22_Fire,,,Fire,,2005-01-22,,1997,10
Human-InducedHazard_2005-01-21_Fire,,,Fire,,2005-01-21,,1997,10
Human-InducedHazard_2005-01-21_Fire,,,Fire,,2005-01-21,,1997,10
Human-InducedHazard_2005-01-18_Fire,,,Fire,,2005-01-18,,1997,10
Human-InducedHazard_2005-01-15_Fire,,,Fire,,2005-01-15,,1997,10
Human-InducedHazard_2005-01-05_Fire,,,Fire,,2005-01-05,,1997,10
Human-InducedHazard_2005-01-16_VehicularAccidentsSummary,,,Human-Induced Hazard,Vehicular Accidents Summary,2005-01-16,1/29/2005,1997,10
Human-InducedHazard_2005-01-16_PlaneCrash,,,Human-Induced Hazard,Plane Crash,2005-01-16,,1997,10
Human-InducedHazard_2005-01-29_SeaMishap(ShipSunk),,,Human-Induced Hazard,Sea Mishap (Ship Sunk),2005-01-29,,1997,10
Human-InducedHazard_2005-01-22_BusCrash,,,Human-Induced Hazard,Bus Crash,2005-01-22,,2005,01
Flooding_2005-01-18_FlashFlood,,,Flooding,Flash Flood,2005-01-18,2005-01-22,2005,01
Flooding_2005-01-18_FlashFlood,,,Flooding,Flash Flood,2005-01-18,,2005,01
Flooding_2005-01-22_FlashFlood,,,Flooding,Flash Flood,2005-01-22,2005-01-24,2005,01
BigWaves_2005-01-02_,,,Big Waves,,2005-01-02,,2005,01
Mass Movement_2006-02-17_Mass Movement,,,Mass Movement,,2006-02-17,,2006,02
Human-InducedHazard_2006-08-11_M/TSolar1OilSpillageGuimaras,,"M/T Solar 1 Oil Spillage, Guimaras",Human-Induced Hazard,,2006-08-11,,2006,08
Human-InducedHazard_2008-08-10_IDPsinMindanao,,IDPs in Mindanao,Human-Induced Hazard,,2008-08-10,2009-07-14,2008,08
Human-InducedHazard_2007-11-20_ArmedConflictinSurigaoProvince,,Armed Conflict in Surigao Province,Human-Induced Hazard,Armed Conflict,2007-11-20,2007-12-16,2007,11
"Human-InducedHazard_2004-12-14_DisplacementinPalimbang,SultanKudaratProvince,RegionXII",,"Displacement in Palimbang, Sultan Kudarat Province, Region XII",Human-Induced Hazard,Displacement,2004-12-14,,2004,12
"Flooding_2006-02-06_FloodingBroughtAboutbyNortheastMonsoonRainsinRegionV,XI,andCARAGA",,"Flooding Brought About by Northeast Monsoon Rains in Region V, XI, and CARAGA",Flooding,,2006-02-06,,2006,02
ArmedConflict_2005-02-18_SuluArmedConflict,,Sulu Armed Conflict,Human-Induced Hazard,Armed Conflict,2005-02-18,,2005,02
VolcanicHazard_2005-04-07_VolcanoesMonitoringActivity:KanlaonVolcano,,Volcanoes Monitoring Activity: Kanlaon Volcano,Volcanic Hazard,,2005-04-07,,2005,04
VolcanicHazard_2005-04-07_VolcanoesMonitoringActivity:TaalVolcano,,Volcanoes Monitoring Activity: Taal Volcano,Volcanic Hazard,,2005-04-07,,2005,04
VolcanicHazard_2005-04-07_VolcanoesMonitoringActivity:MayonVolcano,,Volcanoes Monitoring Activity: Mayon Volcano,Volcanic Hazard,,2005-04-07,,2005,04
others_2005-03-22_ReportontheMissingFishermen,,,Others,Report on the Missing Fishermen,2005-03-22,,2005,03
Human-InducedHazard_2005-07-07_MaritimeIncidentInvolvingMVPrincessoftheWorldofSulpicioShippingLinesInc.,,Maritime Incident Involving MV Princess of the World of Sulpicio Shipping Lines Inc.,Human-Induced Hazard,,2005-07-07,,2005,07
Mass Movement_2005-07-11_Mass MovementinJagnaBohol,,"Mass Movement in Jagna, Bohol",Mass Movement,,2005-07-11,,2005,07
"Tornado_2005-07-23_TornadoIncidentinBarangayLitayen,BongoIsland,Parang,Maguindanao",,"Tornado Incident in Barangay Litayen, Bongo Island, Parang, Maguindanao",Tornado,,2005-07-23,,2005,07
TropicalCyclone_2005-07-06_TropicalDepressionEmong,,Tropical Depression Emong,Tropical Cyclone,Tropical Depression,2005-07-06,,2005,07
Epidemic_2004-07-07_AcuteGastroenteritis(AGE)Outbreak,,Acute Gastroenteritis (AGE) Outbreak,Epidemic,Epidemic,2004-07-07,2004-07-30,2004,07
Epidemic_2004-07-01_DenguecasesinNuevaEcija,,Dengue cases in Nueva Ecija,Epidemic,Dengue,2004-07-01,2004-07-26,2004,07
Human-InducedHazard_2004-07-26_LPGExplosioninamotorizedbanca,,LPG Explosion in a motorized banca,Human-Induced Hazard,,2004-07-26,,2004,07
Human-InducedHazard_2004-07-23_EightStoreyBuilding(SAIBldg),,Eight Storey Building (SAI Bldg),Human-Induced Hazard,,2004-07-23,,2004,07
Human-InducedHazard_2004-07-10_,,,Human-Induced Hazard,,2004-07-10,,2004,07
Human-InducedHazard_2004-07-11_,,,Human-Induced Hazard,,2004-07-11,,2004,07
Human-InducedHazard_2004-07-18_,,,Human-Induced Hazard,,2004-07-18,,2004,07
