disaster_id,name_int,name_local,type,subtype,date_start,date_end,date_year,date_month
Human-InducedHazard_2004-07-21_,,,Human-Induced Hazard,,2004-07-21,,2004,07
Human-InducedHazard_2004-07-23_,,,Human-Induced Hazard,,2004-07-23,,2004,07
Human-InducedHazard_2004-07-24_,,,Human-Induced Hazard,,2004-07-24,,2004,07
Human-InducedHazard_2004-07-26_,,,Human-Induced Hazard,,2004-07-26,,2004,07
Human-InducedHazard_2004-07-29_,,,Human-Induced Hazard,,2004-07-29,,2004,07
"Mass Movement_2004-07-10_Mass MovementatAtok,Benguet",,"Mass Movement at Atok, Benguet",Mass Movement,,2004-07-10,,2004,07
"Mass Movement_2004-07-25_Mass MovementatQuezon,Bukidnon",,"Mass Movement at Quezon, Bukidnon",Mass Movement,,2004-07-25,,2004,07
Flooding_2004-07-12_FlashfloodIncidentsbroughtaboutbytheeffectsofTyphoonIgme,,Flashflood Incidents brought about by the effects of Typhoon Igme,Flooding,Flash Flood,2004-07-12,,2004,07
"Flooding__FlashfloodinMabalacat,Pampaga",,"Flashflood in Mabalacat, Pampaga",Flooding,Flash Flood,,,,
"Flooding__FloodinginTupi,SouthCotabato",,"Flooding in Tupi, South Cotabato",Flooding,,,,,
"Tornado__TornadoatBrgy.Buras,TacurongCity",,"Tornado at Brgy. Buras, Tacurong City",Tornado,,,,,
"Tornado_2004-07-21_TornadoatBrgy.Luna,Apayao",,"Tornado at Brgy. Luna, Apayao",Tornado,,2004-07-21,,2004,07
"Tornado_2004-07-29_TornadaoatAnao,Tarlac",,"Tornadao at Anao, Tarlac",Tornado,,2004-07-29,,2004,07
"Earthquake__EarthquakeatBasco,Batanes",,"Earthquake at Basco, Batanes",Earthquake,,,,,
TropicalCyclone_2004-07-14_TropicalStormJulian,Tropical Storm Kompasu,Tropical Storm Julian,Tropical Cyclone,Weather Disturbance,2004-07-14,2004-07-15,2004,07
TropicalCyclone_2005-03-14_TyphoonAuring,Severe Tropical Storm Roke,Typhoon Auring,Tropical Cyclone,,2005-03-14,2005-03-18,2005,03
TropicalCyclone_2005-08-02_TyphoonFeria,Typhoon Haitang,Typhoon Feria,Tropical Cyclone,,2005-08-02,2005-08-05,2005,08
TropicalCyclone_2005-09-21_TropicalStormLabuyo,Typhoon Damrey,Tropical Storm Labuyo,Tropical Cyclone,,2005-09-21,2005-09-23,2005,09
TropicalCyclone_2005-12-16_TropicalDepressionQuedan,Tropical Depression 25W,Tropical Depression Quedan,Tropical Cyclone,,2005-12-16,2005-12-18,2005,12
TropicalCyclone_2003-07-30_TropicalDepressionIneng,n/a,Tropical Depression Ineng,Tropical Cyclone,Tropical Depression,2003-07-30,2003-07-31,2003,07
TropicalCyclone_2003-09-02_TyphoonOnyok,Typhoon Dujuan,Typhoon Onyok,Tropical Cyclone,Typhoon,2003-09-02,2003-09-03,2003,09
TropicalCyclone_2003-10-29_TropicalDepressionUrsula,Tropical Depression 22W,Tropical Depression Ursula,Tropical Cyclone,Tropical Depression,2003-10-29,,2003,10
TropicalCyclone_2003-11-27_TyphoonAlertYoyoy,Typhoon Lupit,Typhoon Alert Yoyoy,Tropical Cyclone,Typhoon Alert,2003-11-27,2003-11-30,2003,11
TropicalCyclone_2003-11-02_TropicalStormViring,Severe Tropical Storm Melor,Tropical Storm Viring,Tropical Cyclone,Tropical Storm,2003-11-02,2003-11-03,2003,11
TropicalCyclone_2003-12-25_TropicalDepressionZigzag,Tropical Depression 27W,Tropical Depression Zigzag,Tropical Cyclone,Tropical Depression,2003-12-25,2003-12-28,2003,12
TropicalCyclone_2004-11-14_TyphoonUnding,Typhoon Muifa,Typhoon Unding,Tropical Cyclone,Typhoon,2004-11-14,2004-11-21,2004,11
TropicalCyclone_2004-11-22_TropicalStormVioleta,Tropical Storm Merbok,Tropical Storm Violeta,Tropical Cyclone,Tropical Storm,2004-11-22,2004-11-26,2004,11
TropicalCyclone_2004-11-28_TropicalDepressionWinnie,Tropical Depression Winnie,Tropical Depression Winnie,Tropical Cyclone,Tropical Depression,2004-11-28,2004-11-30,2004,11
TropicalCyclone_2004-11-30_TyphoonYoyong,Typhoon Nanmadol,Typhoon Yoyong,Tropical Cyclone,Typhoon,2004-11-30,2004-12-03,2004,11
TropicalCyclone_2004-08-24_TyphoonMarce,Typhoon Aere,Typhoon Marce,Tropical Cyclone,Tropical Cyclone,2004-08-24,,2004,08
Human-InducedHazard_1996-03-19_OzoneDiscoHouseFireIncident,,Ozone Disco House Fire Incident,Human-Induced Hazard,,1996-03-19,,1996,03
Human-InducedHazard_1998-05-16_LungCenterofthePhilippinesFireIncident,,Lung Center of the Philippines Fire Incident,Human-Induced Hazard,,1998-05,,1998,05
Human-InducedHazard_2002-04-11_MVCarmelaVesselFireIncident,,MV Carmela Vessel Fire Incident,Human-Induced Hazard,,2002-04-11,,2002,04
Human-InducedHazard_2002-03-30_BasecoCompoundFireIncident,,Baseco Compound Fire Incident,Human-Induced Hazard,,2002-03-30,,2002,03
Human-InducedHazard_2003-03-06_BasecoCompoundFireIncident,,Baseco Compound Fire Incident,Human-Induced Hazard,,2003-03-06,,2003,03
Human-InducedHazard_2004-01-11_BasecoCompoundFireIncident,,Baseco Compound Fire Incident,Human-Induced Hazard,,2004-01-11,,2004,01
"Human-InducedHazard_2002-03-30_FireIncidentatBasecoCompound,NorthHarbor,BagongLupa,Tondo,Manila",,"Fire Incident at Baseco Compound, North Harbor, Bagong Lupa, Tondo, Manila",Human-Induced Hazard,Fire,2002-03-30,,2002,03
"Flooding_2002-01-02_Flooding,BigWaves,andMassMovementWhichOccurredinMindanao",,"Flooding, Big Waves, and Mass Movement Which Occurred in Mindanao",Flooding,,2002-01-02,,2002,01
Human-InducedHazard_2002-02-27_ArmedConflictIncidentsinMaguindanaoProvince,,Armed Conflict Incidents in Maguindanao Province,Human-Induced Hazard,Armed Conflict,2002-02-27,,2002,02
Others_2003-03-19_GasPoisoninginQuezonCity,,Gas Poisoning in Quezon City,Others,Gas Poisoning,2003-03-19,,2003,03
Others_2002-05-21_LuzonWidePowerBlackout,,Luzon Wide Power Blackout,Others,Power Interruption,2002-05-21,,2002,05
OtherWeatherDisturbances_2002-05-29_LightningIncidentinLibacaoAklan,,Lightning Incident in Libacao Aklan,Other Weather Disturbances,Lightning Incident,2002-05-29,,2002,05
"Human-Induced_2002-05-29_FireIncidentatBrgy.KampurhanIsabela,City,Basilan",,"Fire Incident at Brgy. Kampurhan Isabela, City, Basilan",Human-Induced Hazard,Fire ,2002-05-29,,2002,05
"Mass Movement_2002-09-10_Mass MovementIncidentinMonkayo,CompostelaValley",,"Mass Movement Incident in Monkayo, Compostela Valley ",Mass Movement,Mass Movement,2002-09-10,,2002,09
Human-InducedHazard_2002-09-07_CivilDisturbanceduetoMilitaryOperationsinSouthCotabato,,Civil Disturbance due to Military Operations in South Cotabato,Human-Induced Hazard,Civil Disturbance,2002-09-07,,2002,09
"Human-Induced_as of October 10, 2002 21:00H_BombingIncidentatKidapawanCity",,Bombing Incident at Kidapawan City,Human-Induced Hazard,Bombing,2002-10-10,,2002,10
"Human-Induced_as of October 17, 2002 5:00PM_BombingIncidentsinZamboangaCity",,Bombing Incidents in Zamboanga City,Human-Induced Hazard,Bombing,2002-10-17,,2002,10
"Human-InducedHazard_2002-10-14_VehicularAccidentinUpi,Maguindanao,Buguias,BenguetandIlagan,Isabela",,"Vehicular Accident in Upi, Maguindanao, Buguias, Benguet and Ilagan, Isabela",Human-Induced Hazard,Vehicular Accident,2002-10-14,,2002,10
"Human-InducedHazard_2002-10-12_ArmedConflictBetweentheAFPandMILFinSultanGumanderLanao,DelSur",,"Armed Conflict Between the AFP and MILF in Sultan Gumander Lanao, Del Sur",Human-Induced Hazard,Armed Conflict,2002-10-12,,2002,10
Human-InducedHazard_2002-10-03_BusofUnileverPhilippines,,Bus of Unilever Philippines,Human-Induced Hazard,Vehicular Accident,2002-10-03,,2002,10
Human-InducedHazard_2002-10-02_GrenadeorBombExplosion,,Grenade or Bomb Explosion,Human-Induced Hazard,Bomb Explosion,2002-10-02,,2002,10
"Human-InducedHazard_2002-11-26_VehicularAccidentinTuba,Benguet",,"Vehicular Accident in Tuba, Benguet",Human-Induced Hazard,Vehicular Accident,2002-11-26,,2002,11
"Human-InducedHazard_2002-11-26_ConstructionIncidentinCalauag,Quezon",,"Construction Incident in Calauag, Quezon",Human-Induced Hazard,Construction Indicent,2002-11-26,,2002,11
"Human-InducedHazard_2002-11-24_VehicularAccidentatTagkawayan,Quezon",,"Vehicular Accident at Tagkawayan, Quezon",Human-Induced Hazard,Vehicular Accident,2002-11-24,,2002,11
"Infestation_asofNovember22,2002_MalayanRiceBlackBugInfestationinRegionVIII",,Malayan Rice Black Bug Infestation in Region VIII,Infestation,,2002-11-22,,2002,11
"Human-InducedHazard_2002-11-09_CapsizedBancasinDilasag,Aurora",,"Capsized Bancas in Dilasag, Aurora",Human-Induced Hazard,Vehicular Accident,2002-11-09,,2002,11
Human-InducedHazard_2002-11_CrashLandingofLaoagInternationalAirFlightL-7-585,,Crash Landing of Laoag International Air Flight L-7-585,Human-Induced Hazard,Vehicular Accident,2002-11,,2002,11
Human-InducedHazard_2002-12-12_PlaneCrashinSto.TomasBatangas,,Plane Crash in Sto. Tomas Batangas,Human-Induced Hazard,Vehicular Accident,2002-12-12,,2002,12
Human-InducedHazard_2002-12-17_PAFN22NomadPlaneAccident,,PAF N22 Nomad Plane Accident,Human-Induced Hazard,Vehicular Accident,2002-12-17,,2002,12
"TropicalCyclone_as of July 25, 2002_TyphoonJuanandKaka",,Typhoon Juan and Kaka,Tropical Cyclone,Typhoon,2002-07-25,,2002,07
"Human-InducedHazard_2006-11-01_ChemicalSpill/LeakSta.RosaUno,Marilao,Bulacan",,"Chemical Spill/ Leak Sta. Rosa Uno, Marilao, Bulacan ",Human-Induced Hazard,Oil/Chemical Spillage,2006-11-01,,2006,11
Human-InducedHazard_2006-08-11_Mt.SolarIOilSpillageGuimarasProvince,,Mt. Solar I Oil Spillage Guimaras Province,Human-Induced Hazard,Oil Spillage,2006-08-11,,2006,08
"Human-InducedHazard_2005-12-18_OilSpillageinNortheastofSemiraraIsland,Caluya,Antique",,"Oil Spillage in Northeast of Semirara Island, Caluya, Antique",Human-Induced Hazard,Oil Splillage ,2005-12-18,,2005,12
Human-InducedHazard_2001-06-21_CarmonaOilSpil,,Carmona Oil Spil,Human-Induced Hazard,Oil Spillage,2001-06-21,,2001,06
TropicalCyclone_1998-09-15_TyphoonEmangandTropicalStormGading,,Typhoon Emang and Tropical Storm Gading,Tropical Cyclone,Typhoon,1998-09-15,1998-09-20,1998,09
Human-InducedHazard_1998-09-18_MVPrincessoftheOrientTragedy,,MV Princess of the Orient Tragedy,Human-Induced Hazard,Vehicular Accident,1998-09-18,,1998,09
TropicalCyclone_1998-10-14_TyphoonIliang,Typhoon Zeb,Typhoon Iliang ,Tropical Cyclone,Typhoon,1998-10-14,,1998,10
TropicalCyclone_2009-04-30_TropicalDepressionCrising,,Tropical Depression Crising ,Tropical Cyclone,Tropical Depression,2009-04-30,2009-05-02,2009,04
TropicalCyclone_2009-05-01_TyphoonDante,Typhoon Kujira,Typhoon Dante,Tropical Cyclone,Typhoon,2009-05-01,2009-05-05,2009,05
TropicalCyclone_2009-05-06_TyphoonEmong,Typhoon Chan-hom,Typhoon Emong,Tropical Cyclone,Typhoon,2009-05-06,2009-05-10,2009,05
TropicalCyclone_2009-06-23_TyphoonFeria,Tropical Storm Nangka,Typhoon Feria,Tropical Cyclone,Typhoon ,2009-06-23,2009-06-26,2009,06
TropicalCyclone_2009-07-09_TropicalDepressionGorio,Tropical Storm Soudelor,Tropical Depression Gorio,Tropical Cyclone,Typhoon,2009-07-09,2009-07-10,2009,07
TropicalCyclone_2009-07-14_TyphoonIsang,Typhoon Molave,Typhoon Isang,Tropical Cyclone,Typhoon,2009-07-14,2009-07-28,2009,07
TropicalCyclone_2009-07-30_TyphoonJolina,Tropical Storm Goni,Typhoon Jolina,Tropical Cyclone,Typhoon,2009-07-30,2009-08-02,2009,07
TropicalCyclone_2009-08-03_TyphoonKiko,Typhoon Morakot,Typhoon Kiko,Tropical Cyclone,Typhoon,2009-08-03,2009-08-07,2009,08
TropicalCyclone_2009-09-02_TyphoonLabuyo,Severe Tropical Storm Dujuan,Typhoon Labuyo,Tropical Cyclone,Typhoon,2009-09-02,2009-09-05,2009,09
TropicalCyclone_2009-09-08_TropicalDepressionMaring,Tropical Storm Mujigae,Tropical Depression Maring,Tropical Cyclone,Typhoon ,2009-09-08,2009-09-09,2009,09
TropicalCyclone_2009-09-12_TropicalDepressionNando,Typhoon Koppu,Tropical Depression Nando,Tropical Cyclone,Tropical Depression,2009-09-12,2009-09-13,2009,09
TropicalCyclone_2004-11-28_TropicalDepressionVioleta,Tropical Storm Merbok,Tropical Depression Violeta,Tropical Cyclone,Tropical Depression,2004-11-28,,2004,11
TropicalCyclone_1998-10-15_TyphoonLoleng,,Typhoon Loleng,Tropical Cyclone,Typhoon,1998-10-15,1998-10-25,1998,10
TropicalCyclone_1995-10-15_TyphoonLoleng,n/a??,Typhoon Loleng,Tropical Cyclone,Typhoon,1995-10-15,1995-10-25,1995,10
TropicalCyclone_1999-11-07_TyphoonSendang,Tropical Depression Frankie,Typhoon Sendang,Tropical Cyclone,Typhoon,1999-11-07,,1999,11
TropicalCyclone_1999-10-15_TyphoonRening,Tropical Storm Eve, Typhoon Rening,Tropical Cyclone,Typhoon,1999-10-15,,1999,10
TropicalCyclone_1999-10-11_TyphoonPepang,Typhoon Dan,Typhoon Pepang ,Tropical Cyclone,Typhoon ,1999-10-11,,1999,10
"TropicalCyclone_as of September 13, 1999_TyphoonNeneng",Severe Tropical Storm York, Typhoon Neneng,Tropical Cyclone,Typhoon,1999-09-13,,1999,09
TropicalCyclone_1999-08-20_TropicalStormLuding,,Tropical Storm Luding,Tropical Cyclone,Tropical Storm,1999-08-22,,1999,08
TropicalCyclone_1999-09_TyphoonIsing,,Typhoon Ising ,Tropical Cyclone,Typhoon Ising ,1999-09,,1999,09
TropicalCyclone_1999-07-25_TyphoonHelming,Severe Tropical Storm Neil,Typhoon Helming,Tropical Cyclone,Typhoon,1999-07-25,,1999,07
TropicalCyclone_1963-07-01_TyphoonEtangandTropicalDepressionGening,Tropical Storm Virginia,Typhoon Etang and Tropical Depression Gening,Tropical Cyclone,Typhoon,1963-07-1,1963-07-13,1963,07
TropicalCyclone_2013-08-25_TropicalStormNando,Tropical Storm Kong Rey,Tropical Storm Nando,Tropical Cyclone,Tropical storm,2013-08-25,2013-08-29,2013,08
TropicalCyclone_2013-11-06_TyphoonYolanda,Typhoon Haiyan,Typhoon Yolanda,Tropical Cyclone,Typhoon,2013-11-06,2013-11-09,2013,11
TropicalCyclone_2013-10-29_TyphoonVinta,Typhoon Krosa,Typhoon Vinta,Tropical Cyclone,Typhoon,2013-10-29,2013-11-01,2013,10
TropicalCyclone_2013-09-16_TyphoonOdette,Typhoon Usagi,Typhoon Odette,Tropical Cyclone,Typhoon,2013-09-16,2013-09-22,2013,09
TropicalCyclone_2013-01-03_TyphoonAuring,Typhoon Auring Sonamu,Typhoon Auring,Tropical Cyclone,Typhoon,2013-01-03,2013-01-04,2013,01
TropicalCyclone_2013-01-11_TyphoonBising,Tropical Depression Bising,Typhoon Bising,Tropical Cyclone,Typhoon,2013-01-11,2013-01-13,2013,01
TropicalCyclone_2013-02-18_TyphoonCrising,Tropical Storm Shanshan,Typhoon Crising,Tropical Cyclone,Typhoon,2013-02-18,2013-02-21,2013,02
TropicalCyclone_2013-06-20_TyphoonFabian,Tropical Storm Bebinca,Typhoon Fabian,Tropical Cyclone,Typhoon,2013-06-20,2013-06-21,2013,06
TropicalCyclone_2013-06-27_TyphoonRumbia,Severe Tropical Storm Rumbia,Severe Tropical Storm Gorio,Tropical Cyclone,Typhoon,2013-06-27,2013-07-01,2013,06
TropicalCyclone_2013-08-09_TyphoonLabuyo,Typhoon Utor,Typhoon Labuyo,Tropical Cyclone,Typhoon,2013-08-09,2013-08-12,2013,08
TropicalCyclone_2013-08-17_TyphoonMaring,Typhoon Trami,Typhoon Maring,Tropical Cyclone,Typhoon,2013-08-17,2013-08-21,2013,08
TropicalCyclone_2013-09-26_TyphoonPaolo,Typhoon Wutip,Typhoon Paolo,Tropical Cyclone,Typhoon,2013-09-26,2013-09-27,2013,09
TropicalCyclone_2013-10-08_TyphoonSanti,Typhoon Nari,Typhoon Santi,Tropical Cyclone,Typhoon,2013-10-08,2013-10-13,2013,10
TropicalCyclone_2014-01-17_TyphoonAgaton,Tropical Storm Lingling,Typhoon Agaton,Tropical Cyclone,Typhoon,2014-01-17,2014-01-20,2014,01
TropicalCyclone_2014-01-30_TyphoonBasyang,Typhoon Kajiki,Typhoon Basyang,Tropical Cyclone,Typhoon,2014-01-30,2014-02-01,2014,01
TropicalCyclone_2014-03-21_TyphoonCaloy,Tropical Depression 04W,Typhoon Caloy,Tropical Cyclone,Typhoon,2014-03-21,2014-03-22,2014,03
TropicalCyclone_2014-07-13_TyphoonGlenda,Typhoon Rammasun,Typhoon Glenda,Tropical Cyclone,Typhoon,2014-07-13,2014-07-17,2014,07
TropicalCyclone_2014-07-18_TyphoonHenry,Typhoon Matmo,Typhoon Henry,Tropical Cyclone,Typhoon,2014-07-18,2014-07-23,2014,07
TropicalCyclone_2014-08-02_TyphoonJose,Typhoon Halong,Typhoon Jose,Tropical Cyclone,Typhoon,2014-08-02,2014-08-07,2014,08
TropicalCyclone_2014-09-12_TyphoonLuis,Typhoon Kalmaegi,Typhoon Luis,Tropical Cyclone,Typhoon,2014-09-12,2014-09-15,2014,09
TropicalCyclone_2014-09-17_TyphoonMario,Typhoon Fung-Wong,Typhoon Mario,Tropical Cyclone,Typhoon,2014-09-17,2014-09-21,2014,09
TropicalCyclone_2014-11-26_TyphoonQueenie,Typhoon Sinlaku,Typhoon Queenie,Tropical Cyclone,Typhoon,2014-11-26,2014-11-28,2014,11
TropicalCyclone_2014-12-03_TyphoonRuby,Typhoon Hagupit,Typhoon Ruby,Tropical Cyclone,Typhoon,2014-12-03,2014-12-10,2014,12
TropicalCyclone_2014-12-28_TyphoonSeniang,Tropical Storm Jangmi,Typhoon Seniang,Tropical Cyclone,Typhoon,2014-12-28,2014-12-31,2014,12
TropicalCyclone_2015-01-15_TyphoonAmang,Typhoon Mekkhala,Typhoon Amang,Tropical Cyclone,Typhoon,2015-01-15,2015-01-19,2015,01
TropicalCyclone_2015-04-01_TyphoonChedeng,Typhoon Maysak,Typhoon Chedeng,Tropical Cyclone,Typhoon,2015-04-01,2015-04-05,2015,04
TropicalCyclone_2015-05-07_TyphoonDodong,Typhoon Noul,Typhoon Dodong,Tropical Cyclone,Typhoon,2015-05-07,2015-05-12,2015,05
TropicalCyclone_2015-07-02_TyphoonEgay,Typhoon Linfa,Typhoon Egay,Tropical Cyclone,Typhoon,2015-07-02,2015-07-07,2015,07
TropicalCyclone_2015-08-05_TyphoonHanna,Typhoon Soudelor,Typhoon Hanna,Tropical Cyclone,Typhoon,2015-08-05,2015-08-08,2015,08
TropicalCyclone_2015-08-18_TyphoonIneng,Typhoon Goni,Typhoon Ineng,Tropical Cyclone,Typhoon,2015-08-18,2015-08-23,2015,08
TropicalCyclone_2015-09-23_TyphoonJenny,Typhoon Dujuan,Typhoon Jenny,Tropical Cyclone,Typhoon,2015-09-23,2015-09-29,2015,09
TropicalCyclone_2015-10-01_TyphoonKabayan,Typhoon Mujigae,Typhoon Kabayan,Tropical Cyclone,Typhoon,2015-10-01,2015-10-03,2015,10
TropicalCyclone_2015-10_TyphoonLando,Typhoon Lando Koppu,Typhoon Lando,Tropical Cyclone,Typhoon,2015-10,2015-10,2015,10
TropicalCyclone_2015-12-12_TyphoonNona,Typhoon Melor,Typhoon Nona,Tropical Cyclone,Typhoon,2015-12-12,2015-12-13,2015,12
TropicalCyclone_2015-12-16_TyphoonOnyok,n/a,Typhoon Onyok,Tropical Cyclone,Typhoon,2015-12-16,2015-12-18,2015,12
TropicalCyclone_2016-07-05_TyphoonButchoy,Typhoon Nepartak,Typhoon Butchoy,Tropical Cyclone,Typhoon,2016-07-05,2016-07-08,2016,07
TropicalCyclone_2016-07-29_TyphoonCarina,Typhoon Nida,Typhoon Carina,Tropical Cyclone,Typhoon,2016-07-29,2016-08-01,2016,07
TropicalCyclone_2016-09-11_TyphoonFerdie,Typhoon Meranti,Typhoon Ferdie,Tropical Cyclone,Typhoon,2016-09-11,2016-09-14,2016,09
TropicalCyclone_2016-09-24_TyphoonHelen,Typhoon Helen Megi,Typhoon Helen,Tropical Cyclone,Typhoon,2016-09-24,2016-09-28,2016,09
TropicalCyclone_2016-10-13_TyphoonKaren,Typhoon Sarika,Typhoon Karen,Tropical Cyclone,Typhoon,2016-10-13,2016-10-17,2016,10
TropicalCyclone_2016-10-17_TyphoonLawin,Typhoon Haima,Typhoon Lawin,Tropical Cyclone,Typhoon,2016-10-17,2016-10-20,2016,10
TropicalCyclone_2016-11-23_TyphoonMarce,Typhoon Marce Tokage,Typhoon Marce,Tropical Cyclone,Typhoon,2016-11-23,2016-11-28,2016,11
TropicalCyclone_2016-12-23_TyphoonNina,Typhoon Nock-Ten,Typhoon Nina,Tropical Cyclone,Typhoon,2016-12-23,2016-12-27,2016,12
TropicalCyclone_2017-01-07_TyphoonAuring,Tropical Depression 01W,Typhoon Auring,Tropical Cyclone,Typhoon,2017-01-07,2017-01-09,2017,01
TropicalCyclone_2017-02-03_TyphoonBising,Tropical Depression Bising,Typhoon Bising,Tropical Cyclone,Typhoon,2017-02-03,2017-02-06,2017,02
TropicalCyclone_2017-04-14_TyphoonCrising,Tropical Depression 02W,Typhoon Crising,Tropical Cyclone,Typhoon,2017-04-14,2017-04-15,2017,04
TropicalCyclone_2017-07-25_TyphoonGorio,Typhoon Nesat,Typhoon Gorio,Tropical Cyclone,Typhoon,2017-07-25,2017-07-30,2017,07
TropicalCyclone_2017-08-24_TyphoonJolina,Severe Tropical Storm Pakhar,Typhoon Jolina,Tropical Cyclone,Typhoon,2017-08-24,2017-08-26,2017,08
TropicalCyclone_2017-09-11_TyphoonLannieandMaring,Typhoon Talim and Typhoon Doksuri,Typhoon Lannie and Maring,Tropical Cyclone,Typhoon,2017-09-11,2017-09-13,2017,09
TropicalCyclone_2017-10-11_TyphoonOdette,Typhoon Khanun,Typhoon Odette,Tropical Cyclone,Typhoon,2017-10-11,2017-10-14,2017,10
TropicalCyclone_2017-10-16_TyphoonPaolo,Typhoon Lan,Typhoon Paolo,Tropical Cyclone,Typhoon,2017-10-16,2017-10-22,2017,10
TropicalCyclone_2017-11-01_TyphoonRamil,Typhoon Damrey,Typhoon Ramil,Tropical Cyclone,Typhoon,2017-11-01,2017-11-03,2017,11
TropicalCyclone_2017-11-09_TyphoonSalome,Tropical Storm Haikui,Typhoon Salome,Tropical Cyclone,Typhoon,2017-11-09,2017-11-11,2017,11
TropicalCyclone_2017-11-17_TyphoonTino,Tropical Storm Kirogi,Typhoon Tino,Tropical Cyclone,Typhoon,2017-11-17,2017-11-18,2017,11
TropicalCyclone_2017-12-12_TyphoonUrduja,Tropical Storm Kai-tak,Typhoon Urduja,Tropical Cyclone,Typhoon,2017-12-12,2017-12-19,2017,12
TropicalCyclone_2017-12-20_TyphoonVinta,Typhoon Tembin,Typhoon Vinta,Tropical Cyclone,Typhoon,2017-12-20,2017-12-24,2017,12